quote,author
"The time to make up your mind about people, is never.",Philip Barry
Work doesn't work without play.,Shonda Rhimes
"Reach out your hand if your cup be empty, if your cup is full may it be again.",Robert Hunter
Our heads are round so thought can change direction.,Francis Picabia
"In a time of destruction, create something.",Maxine Hong Kingston
We can always begin again.,Sharon Salzberg
A journey of a thousand miles begins with a single step.,Lao Tzu
The only way to be truly happy is to make others happy.,William Carlos Williams
Love yourself first and everything else falls into line.,Lucille Ball
"The most effective way to do it, is to do it.",Amelia Earhart
The time is always ripe to do right.,Martin Luther King Jr.
"The greater the difficulty, the more the glory in surmounting it.",Epicurus
Love is space and time made perceptible to the heart.,Marcel Proust
Truth is proper and beautiful in all times and in all places.,Frederick Douglass
The heart is wiser than the intellect.,Josiah Gilbert Holland
"Love all, trust a few, do wrong to none.",William Shakespeare
"Sometimes you win, sometimes you learn.",John Maxwell
Hope springs eternal in the human breast.,Alexander Pope
Not what we have but what we enjoy constitutes our abundance.,Jean Antoine Petit-Senn
The secret of life is to fall seven times and to get up eight times.,Paulo Coelho
Men who are in earnest are not afraid of consequences.,Marcus Garvey
All you have to do is write one true sentence. Write the truest sentence that you know.,Ernest Hemingway
No wise man ever wished to be younger.,Jonathan Swift
"Happiness is not a goal, it’s a by-product.",Eleanor Roosevelt
Don't wait. The time will never be just right.,Napoleon Hill
To be careful with people and with words was a rare and beautiful thing.,Benjamin Alire Sáenz
Diligence is the mother of good fortune.,Miguel de Cervantes
You'll never find a rainbow if you're looking down.,Charlie Chaplin
"It is not easy to be a pioneer - but oh, it is fascinating!",Elizabeth Blackwell
"Mind is a flexible mirror, adjust it, to see a better world.",Amit Ray
"Courage is very important. Like a muscle, it is strengthened by use.",Ruth Gordon
"Nobody has ever measured, not even poets, how much the heart can hold.",Zelda Fitzgerald
"Sometimes you win, sometimes you lose, sometimes it rains.",Ron Shelton
What I am is good enough if I would only be it openly.,Carl Rogers
Too many of us are not living our dreams because we are living our fears.,Les Brown
"What do we live for, if not to make life less difficult for each other?",George Eliot
"We know what we are, but know not what we may be.",William Shakespeare
The world always seems brighter when you've just made something that wasn't there before.,Neil Gaiman
"When we sow a seed, we plant a narrative of future possibility.",Sue Stuart-Smith
All our dreams can come true if we have the courage to pursue them.,Walt Disney
If you do not tell the truth about yourself you cannot tell it about other people.,Virginia Woolf
Luck is what happens when preparation meets opportunity.,Seneca
Education must not simply teach work - it must teach Life.,W.E.B. Du Bois
The only difference between success and failure is the ability to take action.,Alexander Graham Bell
"If they don't give you a seat at the table, bring a folding chair.",Shirley Chisholm
I can be someone’s and still be my own.,Shel Silverstein
